[[160., 138.],
[159., 137.],
[158., 137.],
[156., 136.],
[155., 136.],
[154., 135.],
[153., 134.],
[151., 133.],
[151., 133.],
[150., 133.],
[149., 132.],
[148., 131.],
[148., 131.],
[147., 131.],
[147., 130.],
[146., 129.],
[146., 129.],
[146., 127.],
[146., 125.],
[146., 124.],
[146., 122.],
[146., 121.],
[146., 119.],
[146., 117.],
[146., 115.],
[146., 114.],
[147., 113.],
[147., 112.],
[147., 112.],
[147., 111.],
[147., 110.],
[147., 110.],
[147., 109.],
[147., 107.],
[147., 107.],
[147., 106.],
[147., 105.],
[147., 104.],
[147., 103.],
[147., 102.],
[147., 101.],
[147., 100.],
[147., 98.],
[147., 97.],
[147., 95.],
[147., 95.],
[147., 93.],
[147., 92.],
[147., 91.],
[147., 90.],
[147., 89.],
[147., 88.],
[147., 87.],
[147., 86.],
[147., 85.],
[147., 84.],
[147., 84.],
[146., 83.],
[145., 82.],
[144., 80.],
[144., 80.],
[143., 79.],
[142., 78.],
[141., 76.],
[139., 75.],
[138., 74.],
[137., 72.],
[135., 71.],
[134., 70.],
[132., 69.],
[131., 68.],
[129., 67.],
[127., 67.],
[126., 66.],
[124., 66.],
[122., 64.],
[120., 63.],
[119., 62.],
[115., 62.],
[114., 62.],
[112., 61.],
[110., 61.],
[107., 60.],
[105., 60.],
[103., 60.],
[102., 60.],
[100., 60.],
[98., 60.],
[97., 60.],
[96., 60.],
[95., 60.],
[93., 60.],
[91., 60.],
[90., 60.],
[90., 60.],
[88., 60.],
[87., 60.],
[86., 60.],
[85., 60.],
[83., 60.],
[83., 60.],
[81., 60.],
[80., 61.],
[79., 62.],
[78., 64.],
[77., 66.],
[76., 67.],
[75., 69.],
[74., 71.],
[73., 72.],
[72., 73.],
[71., 74.],
[71., 76.],
[69., 78.],
[69., 79.],
[67., 81.],
[67., 83.],
[66., 84.],
[65., 86.],
[64., 88.],
[63., 90.],
[62., 92.],
[61., 94.],
[61., 96.],
[60., 98.],
[59., 100.],
[59., 101.],
[58., 102.],
[58., 103.],
[57., 105.],
[57., 107.],
[56., 108.],
[56., 110.],
[56., 113.],
[55., 117.],
[55., 119.],
[55., 120.],
[55., 122.],
[55., 124.],
[55., 125.],
[55., 126.],
[55., 127.],
[55., 128.],
[55., 129.],
[55., 131.],
[55., 131.],
[55., 132.],
[55., 133.],
[55., 134.],
[55., 134.],
[55., 135.],
[55., 136.],
[55., 136.],
[56., 137.],
[57., 137.],
[58., 138.],
[59., 138.],
[61., 139.],
[63., 139.],
[64., 140.],
[66., 141.],
[67., 141.],
[70., 143.],
[72., 143.],
[74., 144.],
[76., 144.],
[78., 144.],
[80., 145.],
[83., 145.],
[85., 146.],
[86., 146.],
[88., 146.],
[90., 146.],
[91., 146.],
[93., 146.],
[95., 146.],
[97., 146.],
[98., 146.],
[100., 146.],
[102., 146.],
[103., 146.],
[105., 146.],
[107., 146.],
[109., 146.],
[110., 146.],
[112., 146.],
[112., 146.],
[114., 146.],
[115., 146.],
[115., 146.],
[117., 146.],
[117., 146.],
[119., 146.],
[119., 144.],
[120., 144.],
[122., 143.],
[123., 141.],
[124., 141.],
[125., 140.],
[126., 139.],
[127., 139.],
[127., 138.],
[129., 137.],
[129., 137.],
[130., 136.],
[131., 136.],
[132., 134.],
[132., 134.],
[133., 133.],
[134., 131.],
[136., 131.],
[137., 128.],
[138., 127.],
[138., 125.],
[139., 124.],
[139., 123.],
[139., 122.],
[140., 121.],
[141., 120.],
[141., 118.],
[141., 117.],
[141., 117.],
[141., 115.],
[141., 115.],
[141., 114.],
[141., 113.],
[141., 113.],
[141., 112.],
[141., 111.],
[141., 110.],
[142., 112.],
[143., 113.],
[143., 115.],
[143., 117.],
[143., 119.],
[143., 120.],
[144., 122.],
[144., 123.],
[144., 124.],
[144., 125.],
[144., 126.],
[145., 127.],
[145., 128.],
[145., 129.],
[146., 130.],
[146., 131.],
[146., 131.],
[148., 132.],
[148., 133.],
[149., 134.],
[149., 135.],
[150., 136.],
[151., 137.],
[151., 139.],
[153., 140.],
[153., 141.],
[154., 142.],
[154., 143.],
[155., 144.],
[155., 144.],
[157., 146.],
[158., 147.],
[158., 148.],
[159., 149.],
[161., 149.],
[161., 150.],
[162., 151.],
[163., 152.],
[164., 153.],
[165., 153.],
[166., 154.],
[167., 154.],
[168., 155.],
[170., 155.],
[170., 155.],
[171., 155.],
[172., 156.],
[173., 156.],
[174., 156.],
[175., 156.],
[176., 156.],
[177., 156.],
[178., 157.],
[179., 157.],
[179., 158.],
[180., 158.]]
